HOST_ID,Earnings
23396357,0.0
2883595,0.0
18284556,0.0
34242573,0.0
47218709,0.0
17104920,0.0
16252953,0.0
114589722,0.0
29,0.0
21266463,0.0
24805411,0.0
64585770,0.0
83918893,0.0
14909503,0.0
50462784,0.0
48103491,0.0
28278854,0.0
24379463,0.0
52101202,0.0
179011670,0.0
2457695,53764.0
1507427,0.0
199098477,0.0
3113080,0.0
46170232,0.0
41222266,0.0
62849150,0.0
77332607,0.0
102760581,0.0
80150664,0.0
36667530,0.0
213221516,0.0
20938896,0.0
52887706,0.0
22216861,0.0
49119394,14845.0
24674471,0.0
1114282,0.0
197755057,0.0
191135924,0.0
29524174,0.0
43221211,0.0
85950697,0.0
44302569,0.0
2916602,0.0
33947899,0.0
38240508,0.0
7635194,0.0
31817984,0.0
75596042,0.0
91390220,0.0
270,0.0
37191968,0.0
50331938,25440.0
46563628,0.0
170066225,0.0
76742963,19029.0
19398964,0.0
138805558,0.0
193560886,0.0
10453314,0.0
51478852,0.0
94208326,106787.0
216596806,0.0
180552009,0.0
44859735,0.0
155779417,0.0
146768221,0.0
4161886,164430.0
78905695,0.0
160596323,0.0
4456805,18289.0
3113318,0.0
885100,0.0
83362161,0.0
128057714,0.0
71205244,0.0
11731331,0.0
24772995,0.0
17793429,0.0
32932247,5448.0
120783256,0.0
9503130,0.0
9601435,0.0
74482078,0.0
13042081,0.0
23658918,33481.0
180060583,0.0
48726441,0.0
721326,0.0
426416,0.0
13795770,0.0
20611517,0.0
220627389,0.0
4129216,0.0
25461186,0.0
8356290,0.0
92078532,0.0
41746885,0.0
5177799,0.0
167281096,0.0
200180178,0.0
54165982,0.0
132088295,0.0
24904170,0.0
35095020,0.0
9306612,0.0
41878007,0.0
207127031,0.0
16482819,0.0
50004487,0.0
30147085,0.0
147063310,0.0
71729680,0.0
524818,0.0
18219542,0.0
178029088,0.0
102138401,0.0
43352610,0.0
81166893,0.0
7307828,23140.0
7078456,37734.0
32506424,0.0
59507257,0.0
185107010,0.0
33948239,0.0
42336851,0.0
7766611,0.0
4784726,0.0
134251120,0.0
75661938,0.0
182682226,0.0
32113277,0.0
159941248,0.0
42238593,0.0
65766019,0.0
124158599,0.0
23003786,0.0
8815245,0.0
16777870,0.0
3342998,0.0
21987996,0.0
130482844,0.0
11338399,58984.0
678,436695.0
131764,0.0
28115646,0.0
32113342,0.0
66519747,0.0
128549572,0.0
110199493,0.0
107152076,0.0
590540,0.0
199459538,0.0
4227796,17549.0
8159961,0.0
181306077,0.0
24806117,0.0
34964197,0.0
59343599,0.0
10683123,0.0
79299322,0.0
4719358,0.0
100696844,15070.0
160793356,0.0
94241554,0.0
96338707,0.0
24773401,0.0
6193953,0.0
121111331,0.0
35914547,0.0
44041013,0.0
131899,0.0
26542911,0.0
123306817,0.0
24773444,0.0
37618518,0.0
127894360,0.0
218465128,0.0
126550889,0.0
26870644,0.0
11207549,11975.0
137921407,0.0
54526854,0.0
40043400,0.0
19989386,0.0
161710995,0.0
885659,0.0
6587293,0.0
94274461,147000.0
12747680,0.0
163644322,0.0
58786723,0.0
196445094,0.0
72090544,2936.0
1999792,0.0
186352564,0.0
205390778,0.0
9798588,134725.0
110887869,0.0
23724995,0.0
123667401,0.0
159843279,0.0
17892306,0.0
42795986,0.0
84739034,0.0
72319970,222737.0
2327534,22135.0
918513,0.0
3736562,0.0
20841460,0.0
24675316,0.0
35881974,0.0
15696886,0.0
102302721,75335.0
33784835,0.0
75727877,0.0
81953801,0.0
35390479,0.0
199099413,0.0
50758678,0.0
169903127,0.0
43123739,0.0
19268636,0.0
71140380,0.0
82215966,0.0
92865569,66899.0
4228132,0.0
3310631,0.0
80938027,0.0
106759217,0.0
36668468,0.0
67601460,0.0
28312631,0.0
53511230,0.0
133039172,0.0
20513866,0.0
63341643,0.0
90145877,7135.0
119506009,0.0
9831514,0.0
210633818,0.0
1737823,0.0
94209119,0.0
138839140,0.0
22938728,0.0
6227049,0.0
73401452,0.0
47809648,0.0
33621113,0.0
19989629,0.0
59835523,0.0
125633669,0.0
138052745,0.0
74155148,0.0
28411025,0.0
14681234,17065.0
12485783,0.0
1279132,0.0
3474589,0.0
30442654,0.0
210797725,0.0
62293152,72191.0
138249385,0.0
118457516,0.0
4359347,0.0
64816307,0.0
21660864,0.0
2393291,0.0
7308491,0.0
46040270,0.0
26084565,0.0
54625493,0.0
10192110,0.0
174195952,0.0
20940023,0.0
6784247,0.0
25003256,0.0
82707707,0.0
203064579,0.0
41747722,0.0
144311562,0.0
116000015,0.0
9372947,0.0
197919,0.0
93062431,0.0
20907297,0.0
140838182,0.0
25298219,0.0
9831729,0.0
199263541,0.0
51512641,0.0
9962820,42765.0
142968133,0.0
141231437,0.0
211879257,0.0
12780894,0.0
103777641,0.0
36898154,0.0
39748972,0.0
71402863,0.0
37750128,0.0
53642609,0.0
68912498,0.0
1607027,0.0
5604731,0.0
5178760,8245.0
99452299,0.0
76875149,0.0
12748173,0.0
80610703,0.0
2033047,0.0
18843038,0.0
14517665,0.0
67208616,0.0
23758254,0.0
139888052,0.0
32867768,0.0
36668857,0.0
92276155,11387.0
12027326,0.0
3737028,0.0
124061125,0.0
24839627,0.0
18646478,0.0
219710926,0.0
3966424,124292.0
197559775,0.0
4359648,0.0
81135074,0.0
140936676,0.0
169117156,0.0
106989036,0.0
51676655,0.0
82380277,0.0
198706682,0.0
17761788,0.0
19072509,0.0
54134279,0.0
201917961,0.0
131368458,0.0
198870547,0.0
10356250,0.0
34375198,0.0
34702879,0.0
55838243,0.0
146015788,0.0
128878128,0.0
51742257,0.0
39454268,0.0
10847805,0.0
28313150,0.0
202606140,0.0
20612674,0.0
10913348,132656.0
142247492,0.0
6030924,0.0
14911079,0.0
919148,0.0
57214580,0.0
81299061,0.0
110855802,0.0
137299587,0.0
33130116,0.0
55707267,0.0
78382737,0.0
362130,0.0
28837523,0.0
128714395,0.0
92833436,0.0
55772832,0.0
20219553,0.0
3901114,0.0
127993531,0.0
69142204,0.0
14452410,0.0
92079807,0.0
69437124,0.0
117147344,0.0
24708818,0.0
75400923,0.0
148342493,0.0
36275937,0.0
198215408,0.0
21890802,0.0
7079671,0.0
36046599,0.0
1279757,0.0
6293263,0.0
210372378,0.0
4327198,0.0
180553506,0.0
33851172,0.0
35096360,53295.0
94865198,0.0
135563054,0.0
193595189,0.0
16353081,0.0
156796742,0.0
89556807,0.0
55314250,35935.0
81332042,0.0
29951829,0.0
222431066,0.0
12912479,0.0
22022007,0.0
89491320,0.0
103352185,0.0
64194428,0.0
13207432,0.0
20088712,7945.0
24151946,0.0
9209737,0.0
5605266,10125.0
128550804,0.0
2885527,83371.0
32868251,0.0
61605787,0.0
70846373,0.0
9176999,0.0
73664426,15660.0
108595114,0.0
83625909,0.0
1542070,0.0
52168633,0.0
60524476,0.0
36800447,0.0
144377796,0.0
40437709,0.0
6260688,0.0
144246739,0.0
199493589,0.0
17893339,0.0
26445793,0.0
5048291,0.0
66357225,0.0
9832430,45509.0
788469,12975.0
108169205,0.0
189270005,0.0
41584630,0.0
26183694,36352.0
38471695,0.0
3475472,0.0
13305880,0.0
30607391,0.0
103745575,0.0
48531496,0.0
9504807,0.0
30509110,0.0
215746618,0.0
23791682,0.0
4196423,0.0
72190026,0.0
95422542,0.0
79333458,0.0
101451858,0.0
44107860,0.0
37816412,0.0
25823324,0.0
46631012,0.0
46041190,0.0
4425833,26492.0
81987694,0.0
25593967,0.0
157943925,0.0
50694266,0.0
193923198,0.0
185567365,0.0
188942471,0.0
16156810,0.0
85854348,0.0
90081423,0.0
171182226,0.0
9308308,0.0
148768926,0.0
47155362,0.0
39291043,0.0
40962219,0.0
7801014,0.0
51349687,0.0
23660741,0.0
135858375,0.0
27756743,0.0
33786057,0.0
20809930,0.0
1771723,0.0
183830737,0.0
66259155,0.0
36309210,0.0
1870045,124164.0
128780510,0.0
28969185,0.0
44304617,0.0
198838526,0.0
89524483,0.0
106465540,0.0
44501252,0.0
82184459,0.0
103188748,14960.0
15698190,0.0
121047311,0.0
9898257,0.0
46041365,0.0
22251801,0.0
19204377,0.0
72419613,13826.0
3541279,0.0
81135905,0.0
183437610,0.0
6064439,0.0
76155192,0.0
44468538,0.0
15829307,0.0
43518269,0.0
5310787,0.0
90081608,0.0
12421460,0.0
162793813,0.0
55970136,0.0
49744217,0.0
20744547,110408.0
12159334,0.0
126552424,0.0
194546025,0.0
4557171,0.0
53217653,0.0
116754808,0.0
123537793,0.0
69536134,0.0
135137678,0.0
34933135,0.0
83888533,0.0
76155291,0.0
2001310,0.0
10389919,0.0
5900702,0.0
3443107,0.0
49645993,0.0
37292459,0.0
46303663,0.0
36538801,0.0
206408118,0.0
1378763,0.0
6425057,0.0
41748970,8598.0
5409264,0.0
16255476,0.0
2558457,0.0
55282170,9292.0
200903162,0.0
189991424,0.0
